code,material,description,source,source_two,source_three,parent_code,direct,single_use,micro,ospar_code
G207,Glass,Octopus pots,Fishing,Where does it come from,,Parent code,True,False,False,
G208,Glass,Glass or ceramic fragments > 2.5 cm,Undefined,Where does it come from,none,Parent code,True,False,False,none
G209,Glass,Large glass objects,Undefined,Where does it come from,,Parent code,True,False,False,
G210,Glass,Other glass/ceramic,Undefined,Where does it come from,none,Parent code,True,False,False,96
G917,Glass,Terracotta balls,Utility items,Where does it come from,none,G210,False,False,False,96
G921,Glass,Ceramic tile and pieces,Construction,Where does it come from,none,G204,False,False,False,94
G174,Metal,Aerosol spray cans,Packaging,Where does it come from,,Parent code,True,False,False,
G175,Metal,"Cans, beverage",Packaging,Food and drink,none,Parent code,True,True,False,78
G176,Metal,"Cans, food",Packaging,Food and drink,none,Parent code,True,True,False,82
G177,Metal,"Foil wrappers, aluminum foil",Packaging,Where does it come from,none,Parent code,True,False,False,81
G178,Metal,"Metal bottle caps, lids & pull tabs from cans",Packaging,Food and drink,Direct,Parent code,True,True,False,77
G179,Metal,Disposable BBQs,Recreation,Where does it come from,,Parent code,True,False,False,
G180,Metal,Appliances,Utility items,Where does it come from,,Parent code,True,False,False,
G181,Metal,"Tableware metal;  cups, cutlery etc.",Food,Where does it come from,none,Parent code,True,False,False,89
G182,Metal,"Fishing; hooks, weights, lures, sinkers etc.",Fishing,Where does it come from,none,Parent code,True,False,False,80
G183,Metal,Fish hook remains,Fishing,Where does it come from,,Parent code,True,False,False,
G184,Metal,Lobster pots,Fishing,Where does it come from,,Parent code,True,False,False,
G185,Metal,Middle size containers,Utility items,Where does it come from,,Parent code,True,False,False,
G186,Metal,Industrial scrap,Undefined,Where does it come from,,Parent code,True,False,False,
G187,Metal,Drums,Packaging,Where does it come from,,Parent code,True,False,False,
G188,Metal,Other cans < 4 L,Packaging,Where does it come from,none,Parent code,True,False,False,89
G189,Metal,"Gas bottles, drums and buckets > 4 L",Packaging,Where does it come from,none,Parent code,True,False,False,none
G190,Metal,Paint cans,Packaging,Where does it come from,,Parent code,True,False,False,
G191,Metal,Wire and mesh,Utility items,Where does it come from,,Parent code,True,False,False,
G192,Metal,Barrels,Undefined,Where does it come from,,Parent code,True,False,False,
G193,Metal,car parts and batteries,Vehicle,Where does it come from,,Parent code,True,False,False,
G194,Metal,"Cables, metal wire(s) often inside rubber or plastic tubes",Construction,Electronics,none,Parent code,False,False,False,89
G195,Metal,Batteries - household,Utility items,Where does it come from,,Parent code,True,False,False,
G196,Metal,Large metallic objects,Undefined,Where does it come from,,Parent code,True,False,False,
G197,Metal,Other metal,Undefined,Where does it come from,,Parent code,True,False,False,
G198,Metal,Other metal pieces < 50cm,Undefined,Where does it come from,,Parent code,True,False,False,
G199,Metal,Other metal pieces > 50cm,Undefined,Where does it come from,,Parent code,True,False,False,
G906,Metal,coffee capsules aluminum,Packaging,Food and drinks,Where does it come from,G177,False,True,False,81
G918,Metal,"Safety pins, paper clips, small metal utility items",Utility items,Personal equipment,none,G198,True,False,False,89
G919,Metal,"Nails, screws, bolts etc.",Utility items,Construction,Recreation,G197,False,False,False,89
G929,Metal,"Electronics and pieces; sensors, headsets etc.",Utility items,Electronics,Personal equipment,G198,True,False,False,89
G945,Metal,Razor blades,Personal hygiene,Water Treatment,Where does it come from,G198,False,True,False,89
G146,Paper,"Paper, cardboard",Undefined,Where does it come from,,Parent code,True,False,False,
G147,Paper,Paper bags,Packaging,Where does it come from,,Parent code,True,False,False,
G148,Paper,Cardboard (boxes and fragments),Packaging,Where does it come from,,Parent code,True,False,False,
G149,Paper,Paper packaging,Packaging,Where does it come from,,Parent code,True,False,False,
G150,Paper,"Milk cartons, tetrapack",Packaging,Where does it come from,none,Parent code,True,False,False,118
G151,Paper,"Cartons, Tetrapacks",Packaging,Where does it come from,none,Parent code,True,False,False,62
G152,Paper,"Cigarette boxes, tobacco related paper/cardboard",Tobacco,Where does it come from,none,Parent code,True,False,False,63
G153,Paper,"Cups, food containers, wrappers (paper)",Packaging,Food and drink,none,Parent code,True,True,False,67
G154,Paper,Newspapers or magazines,Utility items,Where does it come from,,Parent code,True,False,False,
G155,Paper,Fireworks paper tubes and fragments,Recreation,Where does it come from,none,Parent code,True,False,False,67
G156,Paper,Paper fragments,Undefined,Where does it come from,,Parent code,True,False,False,
G157,Paper,Paper,Undefined,Where does it come from,,Parent code,True,False,False,
G158,Paper,Other paper items,Undefined,Where does it come from,,Parent code,True,False,False,
G923,Paper,"Tissue, toilet paper, napkins, paper towels",Personal hygiene,Where does it come from,none,G158,True,False,False,67
G1,Plastic,Six pack rings,Packaging,Food and drink,none,Parent code,True,True,False,1
G10,Plastic,Food containers single use foamed or plastic,Packaging,Food and drink,Direct,Parent code,True,True,False,6
G100,Plastic,Medical; containers/tubes/ packaging,Medical,Water Treatment,none,Parent code,False,True,False,103
G101,Plastic,Dog feces bag,Utility items,Where does it come from,,Parent code,True,False,False,
G102,Plastic,Flip-flops,Clothing,Where does it come from,,Parent code,True,False,False,
G103,Plastic,Plastic fragments rounded <5mm,Undefined,Where does it come from,none,Parent code,True,False,True,none
G104,Plastic,Plastic fragments subrounded <5mm,Undefined,Where does it come from,none,Parent code,True,False,True,none
G105,Plastic,Plastic fragments subangular <5mm,Undefined,Where does it come from,none,Parent code,True,False,True,none
G106,Plastic,Plastic fragments angular <5mm,Undefined,Where does it come from,none,Parent code,True,False,True,none
G107,Plastic,Cylindrical pellets < 5mm,Industry,Where does it come from,none,Parent code,True,False,True,none
G108,Plastic,disk pellets  <5mm,Industry,Where does it come from,Indirect,Parent code,True,False,True,none
G109,Plastic,Flat pellets  <5mm,Industry,Where does it come from,Indirect,Parent code,True,False,True,none
G11,Plastic,"Cosmetics for the beach, e.g. sunblock",Personal hygiene,Where does it come from,none,Parent code,True,True,False,7
G110,Plastic,Ovoid pellets < 5mm,Industry,Where does it come from,Indirect,Parent code,True,False,True,none
G111,Plastic,Spheruloid pellets < 5mm,Industry,Where does it come from,Indirect,Parent code,True,False,True,none
G112,Plastic,Industrial pellets (nurdles),Industry,Where does it come from,Indirect,Parent code,False,False,True,none
G113,Plastic,Filaments  <5mm,Undefined,Where does it come from,Indirect,Parent code,True,False,True,none
G114,Plastic,Films  <5mm,Undefined,Where does it come from,Indirect,Parent code,True,False,True,none
G115,Plastic,Foamed  plastic <5mm,Undefined,Where does it come from,none,Parent code,True,False,True,none
G116,Plastic,Granules <5mm,Industry,Where does it come from,Indirect,Parent code,True,False,True,none
G117,Plastic,Styrofoam < 5mm,Undefined,Where does it come from,none,Parent code,True,False,True,none
G118,Plastic,Small industrial spheres <5mm,Industry,Where does it come from,Indirect,Parent code,True,False,True,none
G119,Plastic,Sheetlike user plastic (>1mm),Undefined,Where does it come from,,Parent code,True,False,False,
G12,Plastic,"Cosmetics, non-beach use personal care containers",Personal hygiene,Where does it come from,none,Parent code,False,True,False,7
G120,Plastic,Threadlike user plastic ( >1mm),Undefined,Where does it come from,,Parent code,True,False,False,
G121,Plastic,Foamed user plastic ( >1mm),Undefined,Where does it come from,,Parent code,True,False,False,
G122,Plastic,Plastic fragments ( >1mm),Undefined,Where does it come from,,Parent code,True,False,False,
G123,Plastic,Polyurethane granules < 5mm,Industry,Where does it come from,Indirect,Parent code,True,False,True,none
G124,Plastic,Other plastic or foam products,Undefined,Where does it come from,,Parent code,True,False,False,
G13,Plastic,"Bottles, containers, drums to transport, store material",Packaging,Industry,none,Parent code,False,False,False,12
G14,Plastic,Engine oil bottles,Packaging,Where does it come from,,Parent code,True,False,False,
G15,Plastic,Engine oil bottles > 50cm,Packaging,Where does it come from,,Parent code,True,False,False,
G16,Plastic,Jerry cans,Packaging,Where does it come from,,Parent code,True,False,False,
G17,Plastic,Injection gun cartridge,Packaging,Where does it come from,,Parent code,True,False,False,
G18,Plastic,Crates/baskets,Packaging,Where does it come from,,Parent code,True,False,False,
G19,Plastic,Car parts,Vehicle,Where does it come from,,Parent code,True,False,False,
G2,Plastic,Bags,Packaging,Where does it come from,none,Parent code,True,True,False,none
G20,Plastic,Caps and lids,Packaging,Where does it come from,none,Parent code,True,True,False,15
G21,Plastic,Drink lids,Packaging,Food and drinks,none,Parent code,True,False,False,15
G22,Plastic,"Lids for chemicals, detergents (non-food)",Packaging,Where does it come from,none,Parent code,True,False,False,15
G23,Plastic,Lids unidentified,Packaging,Where does it come from,,Parent code,True,False,False,
G24,Plastic,Lid/cap rings from plastic bottles/containers,Packaging,Where does it come from,none,Parent code,True,True,False,15
G25,Plastic,"Tobacco; plastic  packaging, containers",Tobacco,Smoking related,Direct,Parent code,True,True,False,48
G26,Plastic,Cigarette lighters,Tobacco,Where does it come from,none,Parent code,True,False,False,16
G27,Plastic,Cigarette butts and filters,Tobacco,Where does it come from,none,Parent code,True,True,False,64
G28,Plastic,"Pens, lids, mechanical pencils etc.",Utility items,Where does it come from,Direct,Parent code,True,False,False,17
G29,Plastic,"Combs, brushes and sunglasses",Utility items,Where does it come from,Direct,Parent code,True,False,False,18
G3,Plastic,Bags; plastic shopping/carrier/grocery and pieces,Packaging,Food and drink,none,Parent code,True,True,False,2
G30,Plastic,"Food wrappers; candy, snack packaging",Packaging,Food and drink,none,Parent code,True,True,False,19
G31,Plastic,Lollypop sticks,Packaging,Food and drink,none,Parent code,True,True,False,19
G32,Plastic,Toys and party favors,Recreation,Where does it come from,none,Parent code,True,False,False,20
G33,Plastic,"Cups, lids, single use foamed and hard plastic",Packaging,Food and drink,Direct,Parent code,True,True,False,21
G34,Plastic,"Cutlery, plates and trays",Food,Where does it come from,none,Parent code,True,True,False,22
G35,Plastic,Straws and stirrers,Food,none,none,Parent code,True,True,False,22
G36,Plastic,"Bags/sacks heavy duty plastic for 25 Kg or more; animal feed, fertilizers, garden trash etc.",Packaging,Where does it come from,Indirect,Parent code,True,True,False,23
G37,Plastic,Mesh bags,Packaging,Where does it come from,,Parent code,True,False,False,
G38,Plastic,"Coverings; plastic packaging, sheeting for protecting large cargo items",Packaging,Industrial,none,Parent code,False,True,False,40
G39,Plastic,Gloves,Clothing,Where does it come from,,Parent code,True,False,False,
G4,Plastic,"Small plastic bags; freezer, zip-lock etc.",Packaging,Food and drink,Medical,Parent code,True,True,False,3
G40,Plastic,Gloves household/gardening,Clothing,Where does it come from,none,Parent code,True,False,False,25
G41,Plastic,Glove industrial/professional,Clothing,Where does it come from,none,Parent code,True,False,False,113
G42,Plastic,Crab lobster pots,Fishing,Where does it come from,,Parent code,True,False,False,
G43,Plastic,"Tags fishing or industry (security tags, seals)",Utility items,Where does it come from,none,Parent code,False,False,False,114
G44,Plastic,Octopus pots,Fishing,Where does it come from,,Parent code,True,False,False,
G45,Plastic,Mussel nets,Aquaculture,Where does it come from,,Parent code,True,False,False,
G46,Plastic,Oyster trays,Aquaculture,Where does it come from,,Parent code,True,False,False,
G47,Plastic,Sheeting from mussel culture,Aquaculture,Where does it come from,,Parent code,True,False,False,
G48,Plastic,"Rope, synthetic",Utility items,Boating,Construction,Parent code,False,False,False,none
G49,Plastic,Rope > 1cm,Utility items,Where does it come from,,Parent code,True,False,False,
G5,Plastic,Generic plastic bags,Packaging,Where does it come from,,Parent code,True,False,False,
G50,Plastic,String < 1cm,Utility items,Where does it come from,,Parent code,True,False,False,
G51,Plastic,Fishing net,Fishing,Where does it come from,,Parent code,True,False,False,
G52,Plastic,Nets and pieces,Fishing,Where does it come from,,Parent code,True,False,False,
G53,Plastic,Nets and pieces < 50cm,Fishing,Where does it come from,,Parent code,True,False,False,
G54,Plastic,Nets and pieces > 50cm,Fishing,Where does it come from,,Parent code,True,False,False,
G55,Plastic,Fishing line (entangled),Fishing,Where does it come from,,Parent code,True,False,False,
G56,Plastic,Tangled nets,Fishing,Where does it come from,,Parent code,True,False,False,
G57,Plastic,Fish boxes,Fishing,Where does it come from,,Parent code,True,False,False,
G58,Plastic,Foam fish box,Fishing,Where does it come from,,Parent code,True,False,False,
G59,Plastic,Fishing line monofilament (angling),Fishing,Where does it come from,,Parent code,True,False,False,
G6,Plastic,"Bottles and containers, plastic non food/drink",Packaging,Where does it come from,Direct,Parent code,True,True,False,11
G60,Plastic,Light sticks,Fishing,Where does it come from,,Parent code,True,False,False,
G61,Plastic,Other fishing related,Fishing,Where does it come from,,Parent code,True,False,False,
G62,Plastic,Floats for nets,Fishing,Where does it come from,,Parent code,True,False,False,
G63,Plastic,Buoys,Undefined,Where does it come from,,Parent code,True,False,False,
G64,Plastic,Fenders,Vehicle,Where does it come from,,Parent code,True,False,False,
G65,Plastic,Buckets,Utility items,Where does it come from,,Parent code,True,False,False,
G66,Plastic,"Straps/bands;  hard, plastic package fastener",Packaging,Where does it come from,none,Parent code,True,False,False,39
G67,Plastic,Industrial sheeting,Utility items,Industry,none,Parent code,False,False,False,40
G68,Plastic,Fiberglass fragments,Fishing,Where does it come from,,Parent code,True,False,False,
G69,Plastic,Helmets or hardhats,Clothing,Where does it come from,,Parent code,True,False,False,
G7,Plastic,Drink bottles < = 0.5L,Packaging,Food and drink,Where does it come from,Parent code,True,True,False,4
G70,Plastic,Shotgun cartridges,Hunting,Where does it come from,,Parent code,True,False,False,
G71,Plastic,Shoes sandals,Clothing,Where does it come from,,Parent code,True,False,False,
G72,Plastic,Traffic cones,Utility items,Where does it come from,,Parent code,True,False,False,
G73,Plastic,Foamed items & pieces (not packaging or insulation related) made of foamed sponge-like material,Undefined,Utility,Recreation,Parent code,True,False,False,45
G74,Plastic,Foamed plastic  for thermal insulation or packing material,Undefined,Construction,Industrial,Parent code,False,False,False,45
G75,Plastic,Plastic/polystyrene pcs 0 - 2.5 cm,Undefined,Where does it come from,none,Parent code,True,False,False,117
G76,Plastic,Plastic/foamed polystyrene 2.5 > < 50,Undefined,Where does it come from,Indirect,Parent code,True,False,False,46
G77,Plastic,Plastic or polystyrene  > 50cm,Undefined,Where does it come from,,Parent code,True,False,False,
G78,Plastic,Plastic pieces 0.5cm - 2.5cm,Undefined,Where does it come from,none,Parent code,True,False,False,117
G79,Plastic,Plastic pieces 2.5cm - 50cm,Undefined,None,None,Parent code,True,False,False,46
G8,Plastic,Drink bottles  > 0.5L,Packaging,Food and drink,none,Parent code,True,True,False,4
G80,Plastic,Plastic pieces > 50cm,Undefined,Where does it come from,,Parent code,True,False,False,
G81,Plastic,Foamed polystyrene pieces 0.5cm - 2.5cm,Packaging,Construction,None,Parent code,False,False,False,117
G82,Plastic,Foam polystyrene; expanded beads/balls  2.5cm - 50cm,Undefined,Packaging,Construction,Parent code,False,False,False,46
G83,Plastic,Polystyrene pieces > 50cm,Undefined,Where does it come from,,Parent code,True,False,False,
G84,Plastic,CD or CD box,Packaging,Where does it come from,,Parent code,True,False,False,
G85,Plastic,Salt packaging,Packaging,Where does it come from,,Parent code,True,False,False,
G86,Plastic,Fin trees,Recreation,Where does it come from,,Parent code,True,False,False,
G87,Plastic,"Tape, masking/duct/packing",Utility items,Where does it come from,none,Parent code,False,False,False,48
G88,Plastic,Telephone incl. parts,Utility items,Where does it come from,none,Parent code,True,False,False,48
G89,Plastic,Plastic construction waste,Construction,Where does it come from,,Parent code,True,False,False,
G9,Plastic,"Cleaner, chemical bottles & containers",Packaging,Construction,Industry,Parent code,True,True,False,5
G90,Plastic,Plastic flower pots,Agriculture,Where does it come from,,Parent code,True,False,False,
G901,Plastic,"Mask medical, synthetic",Personal hygiene,Where does it come from,none,G124,True,True,False,48
G903,Plastic,Hand sanitizer containers & packets,Personal hygiene,Where does it come from,none,G12,True,True,False,7
G904,Plastic,"Fireworks; rocket caps, exploded parts & packaging",Recreation,Where does it come from,none,G124,False,True,False,48
G905,Plastic,"Hair clip,  hair ties, personal accessories plastic",Personal hygiene,Where does it come from,Where does it come from,G124,True,False,False,48
G907,Plastic,coffee capsules plastic,Undefined,Where does it come from,none,G124,False,True,False,48
G908,Plastic,"Tape; electrical, insulating",Construction,none,none,G124,False,False,False,48
G909,Plastic,"Foamed-plastic for insulation; yellow, pink, blue/green & spray foams 0.5cm - 2.5cm",Construction,none,none,G74,False,False,False,45
G91,Plastic,Biomass holder,Water Treatment,Where does it come from,none,Parent code,False,False,False,91
G910,Plastic,"Foamed-plastic for insulation; yellow, pink, blue/green & spray foams 2.5cm - 50cm",Construction,Where does it come from,none,G74,False,False,False,46
G911,Plastic,Foamed polystyrene pieces 0.5cm - 2.5 cm,Packaging,Construction,none,G81,False,True,False,117
G912,Plastic,Foam polystyrene; expanded beads/balls  2.5cm - 50cm,Packaging,Construction,none,G82,False,True,False,46
G913,Plastic,Pacifier,Personal hygiene,Where does it come from,none,G124,True,False,False,48
G914,Plastic,"Paperclips, clothespins, plastic utility items",Utility items,Where does it come from,none,G124,True,False,False,48
G915,Plastic,"Reflectors, plastic motility items",Utility items,Recreation,none,G124,True,False,False,48
G92,Plastic,Bait containers,Fishing,Where does it come from,,Parent code,True,False,False,
G922,Plastic,"Labels, bar codes",Packaging,Where does it come from,none,G124,True,True,False,48
G925,Plastic,"Packets: desiccant/ moisture absorbers, plastic case filled with silica",Utility items,Packaging,none,G124,True,True,False,Ospar...
G926,Plastic,"Chewing gum, often contains plastics",Undefined,Where does it come from,Where does it come from,G124,True,True,False,Ospar...
G927,Plastic,"String trimmer line, used to cut grass, weeds, and shrubbery",Utility items,Where does it come from,Where does it come from,G124,True,True,False,Ospar...
G928,Plastic,Ribbons and bows,Recreation,Where does it come from,Where does it come from,G124,True,True,False,Ospar...
G93,Plastic,"Cable ties; steggel, zip, zap straps",Utility items,Construction,none,Parent code,False,True,False,48
G930,Plastic,Foam earplugs,Personal hygiene,Where does it come from,Where does it come from,G124,True,True,False,Ospar...
G931,Plastic,"Tape-caution for barrier, police, construction etc.",Utility items,Construction,Recreation,G124,True,True,False,Ospar...
G932,Plastic,"Bio-beads, micro plastic for wastewater treatment, irregular shape, ridged sides < 5mm",Water Treatment,Where does it come from,Where does it come from,G91,False,False,True,Ospar...
G933,Plastic,"Bags, cases for accessories; glasses, electronics, incl. straps, pieces, plstc. nylon etc.",Undefined,Personal equipment,Where does it come from,G124,True,False,False,Ospar...
G934,Plastic,"Sandbag, plastic for flood, erosion control etc..",Construction,Where does it come from,Where does it come from,G124,True,True,False,Ospar...
G935,Plastic,"Walking stick pads and pieces, often elastomeric material",Recreation,Where does it come from,Where does it come from,G124,False,False,False,Ospar...
G936,Plastic,Sheeting ag. greenhouse film,Agriculture,Where does it come from,Where does it come from,G67,False,False,False,40
G937,Plastic,Pheromone baits for vineyards,Agriculture,Where does it come from,Where does it come from,G124,False,False,False,Ospar...
G938,Plastic,"Toothpicks, dental floss plastic",Personal hygiene,Where does it come from,Where does it come from,G124,True,True,False,Ospar...
G939,Plastic,"Flowers, plants plastic",Undefined,Where does it come from,Where does it come from,G124,False,False,False,Ospar...
G94,Plastic,Table cloth,Utility items,Where does it come from,,Parent code,True,False,False,
G940,Plastic,Foamed EVA (flexible plastic) for crafts & watersports,Recreation,Where does it come from,Where does it come from,G73,True,False,False,Ospar...
G941,Plastic,Packaging plastic nonfood or unknown,Packaging,Where does it come from,Where does it come from,G124,False,True,False,48
G942,Plastic,"Plastic shavings from lathes, CNC machining",Industry,Where does it come from,Where does it come from,G124,False,False,False,Ospar...
G943,Plastic,"Fencing agriculture, plastic",Agriculture,Where does it come from,Where does it come from,Parent code,False,False,False,Ospar...
G944,Plastic,Pellet mass from injection molding,Industry,Manufacturing,Where does it come from,G112,False,True,False,Ospar...
G95,Plastic,Cotton bud/swab sticks,Personal hygiene,Water Treatment,Indirect,Parent code,False,True,False,98
G96,Plastic,Sanitary pads /panty liners/tampons and applicators,Personal hygiene,Water Treatment,none,Parent code,False,True,False,99
G97,Plastic,Toilet fresheners,Personal hygiene,Where does it come from,,Parent code,True,False,False,
G98,Plastic,Diapers - wipes,Personal hygiene,Where does it come from,none,Parent code,True,True,False,102
G99,Plastic,Syringes - needles,Medical,Where does it come from,,Parent code,True,False,False,
G125,Rubber,Balloons and balloon sticks,Recreation,Where does it come from,Direct,Parent code,True,True,False,49
G126,Rubber,Balls,Recreation,Where does it come from,,Parent code,True,False,False,
G127,Rubber,Rubber boots,Clothing,Where does it come from,,Parent code,True,False,False,
G128,Rubber,Tires and belts,Vehicle,Where does it come from,,Parent code,True,False,False,
G129,Rubber,Inner tubes and rubber sheets,Vehicle,Where does it come from,,Parent code,True,False,False,
G130,Rubber,Wheels,Vehicle,Where does it come from,,Parent code,True,False,False,
G131,Rubber,Rubber bands,Utility items,Where does it come from,,Parent code,True,False,False,
G132,Rubber,Bobbers (fishing),Fishing,Where does it come from,,Parent code,True,False,False,
G133,Rubber,Condoms incl. packaging,Personal hygiene,Water Treatment,none,Parent code,True,True,False,97
G134,Rubber,Other rubber,Undefined,Where does it come from,,Parent code,True,False,False,
G900,Rubber,Gloves latex  personal protective equipment,Personal hygiene,Where does it come from,none,G134,True,True,False,53
G998,Undefined,No exposed shoreline,Where does it come from,Where does it come from,Where does it come from,Parent code,True,False,False,Ospar...
G211,Unidentified,"Other medical items (swabs, bandaging, adhesive plaster)",Medical,Where does it come from,none,Parent code,True,True,False,105
G999,Unidentified,No objects found on this survey,Undefined,Where does it come from,,Parent code,True,False,False,
G159,Wood,Corks,Packaging,Where does it come from,,Parent code,True,False,False,
G160,Wood,Pallets,Packaging,Where does it come from,,Parent code,True,False,False,
G161,Wood,Processed timber,Packaging,Where does it come from,none,Parent code,False,False,False,69
G162,Wood,Crates,Packaging,Where does it come from,,Parent code,True,False,False,
G163,Wood,Crab lobster pots,Fishing,Where does it come from,,Parent code,True,False,False,
G164,Wood,Fish boxes,Fishing,Where does it come from,,Parent code,True,False,False,
G165,Wood,"Ice cream sticks, toothpicks, chopsticks",Packaging,Food and drink,none,Parent code,True,True,False,72
G166,Wood,Paint brushes,Utility items,Where does it come from,,Parent code,True,False,False,
G167,Wood,Matches or fireworks,Recreation,Where does it come from,,Parent code,True,False,False,
G168,Wood,Wood boards,Undefined,Where does it come from,,Parent code,True,False,False,
G169,Wood,"Beams, dunnage",Undefined,Where does it come from,,Parent code,True,False,False,
G170,Wood,Wood (processed),Undefined,Where does it come from,,Parent code,True,False,False,
G171,Wood,Other wood < 50cm,Undefined,Where does it come from,,Parent code,True,False,False,
G172,Wood,Other wood > 50cm,Undefined,Where does it come from,,Parent code,True,False,False,
G173,Wood,Other,Undefined,Where does it come from,,Parent code,True,False,False,
G916,Wood,Pencils and pieces,Utility items,Where does it come from,none,G170,True,False,False,none
