location,latitude,longitude,post,country,water,water_name,city_slug,water_name_slug,is_2020,city,bfsnum,population,buildings,streets,intersects,pop_group_proj,pop_group_rip,streets_rank,buildings_rank
AugustMützenbergStrandweg,46.686640000000004,7.689760000000001,3700,CH,l,Thunersee,spiez,thunersee,True,Spiez,768,12812,67619.079,55315.164,0,3,6,0,1
Baby Plage Geneva,46.208558000000004,6.162923,1208,CH,l,Lac Léman,geneve,lac-leman,True,Genève,6621,201818,61378.836,52171.426,4,3,6,3,3
Baby-Plage II Genève,46.208940000000005,6.1643300000000005,1208,CH,l,Lac Léman,geneve,lac-leman,True,Genève,6621,201818,43344.426,77162.777,4,3,6,3,3
Bagno Pubblico Ascona,46.147565,8.779144,6612,CH,l,Lago Maggiore,ascona,lago-maggiore,True,Ascona,5091,5481,36508.339,16839.043,1,2,5,0,0
Bain des Dames,46.4505068,6.8580918,1814,CH,l,Lac Léman,la-tour-de-peilz,lac-leman,True,La Tour-de-Peilz,5889,11828,78545.762,26338.873,2,2,6,0,1
Baye de Clarens,46.439787,6.888903,1815,CH,l,Lac Léman,montreux,lac-leman,False,Montreux,5886,25984,81628.80099999999,45050.108,4,3,6,1,2
Baye de Montreux D,46.430962,6.908672999999999,1820,CH,l,Lac Léman,montreux,lac-leman,False,Montreux,5886,25984,100626.459,25546.342,3,3,6,1,2
Baye de Montreux G,46.430834000000004,6.908778,1820,CH,l,Lac Léman,montreux,lac-leman,True,Montreux,5886,25984,100060.326,20877.419,3,3,6,1,2
Beich,47.048495,7.200528,3272,CH,r,Aare,walperswil,aare,True,Walperswil,754,1043,0.0,57033.588,0,0,1,0,0
Berlingen swisslitterreport,47.672431200000005,9.0110553,8267,CH,l,Untersee,berlingen,untersee,False,Berlingen,4801,890,11779.334,29727.228,0,0,1,0,0
Bern Fahrstrasse,46.975865999999996,7.444210000000001,3004,CH,r,Aare,bern,aare,True,Bern,351,133883,59905.02400000001,29910.688,0,3,6,3,3
Bern Tiergarten,46.9331574,7.4520041,3005,CH,r,Aare,bern,aare,True,Bern,351,133883,70579.587,30481.131,0,3,6,3,3
Bielersee_Vinelz_FankhauserS,47.0383984,7.1083114,3234,CH,l,Bielersee,vinelz,bielersee,True,Vinelz,502,867,25628.504,21873.95,6,0,1,0,0
Birsköpfli Rusco,47.5577429,7.6172916,4127,CH,r,Birs,birsfelden,birs,False,Birsfelden,2766,10303,93081.389,21133.168,0,2,6,0,1
Birs_Basel_GrunerN,47.5511276,7.6221988,4052,CH,r,Birs,basel,birs,False,Basel,2701,172258,156202.448,17813.883,0,3,6,3,3
Birs_basel_lÃ¤derachs,47.546049700000005,7.6225981,4052,CH,r,Birs,basel,birs,False,Basel,2701,172258,132077.47699999998,39824.889,0,3,6,3,3
bodensee_altenrhein_caluoria,47.486506899999995,9.5439664,9422,CH,l,Bodensee,thal,bodensee,False,Thal,3237,6571,87293.23599999999,18563.599,0,2,6,0,0
Bodensee_Arbon_MosliS,47.52088870000001,9.431144,9320,CH,l,Bodensee,arbon,bodensee,False,Arbon,4401,14633,62149.438,12833.336,0,3,6,0,1
bodensee_horn_huberm,47.4982757,9.4569782,9326,CH,l,Bodensee,horn,bodensee,False,Horn,4421,2752,58022.10400000001,22274.959,0,0,3,0,0
Bodensee_Steinach_Dolder_A,47.5062992,9.436171400000001,9323,CH,l,Bodensee,steinach,bodensee,False,Steinach,3217,3606,94315.624,22966.503,0,1,4,0,0
bodensee_thal_schlachterj_1,47.486216299999995,9.543909900000001,9422,CH,l,Bodensee,thal,bodensee,False,Thal,3237,6571,86472.901,18187.01,0,2,6,0,0
Boiron,46.4910297,6.480161799999999,1131,CH,l,Lac Léman,tolochenaz,lac-leman,False,Tolochenaz,5649,1933,1955.158,24216.878,1,0,3,0,0
Brügg BE Büren BSG Standort,47.12222,7.28141,2555,CH,r,Aare|Nidau-Büren-Kanal,brugg,aarenidau-buren-kanal,True,Brügg,733,4390,89901.337,88079.037,0,1,5,0,0
Camp des pêches,47.052812,7.074053,2525,CH,l,Bielersee,le-landeron,bielersee,True,Le Landeron,6455,4645,28216.363,23871.874,8,1,5,0,0
Camping Gwatt Strand,46.727140000000006,7.62962,3645,CH,l,Thunersee,thun,thunersee,True,Thun,942,43734,30961.619,33438.714,6,3,6,3,3
chriesbach_duebendorf_schneidera,47.4029195,8.6051458,8600,CH,r,Chriesbach,dubendorf,chriesbach,False,Dübendorf,191,28678,154259.642,21042.359,0,3,6,1,2
Cudrefin alternate,46.96397,7.027448,1588,CH,l,Neuenburgersee,cudrefin,neuenburgersee,True,Cudrefin,5456,1633,15196.845,23655.162,6,0,2,0,0
Cully plage,46.4888866,6.741396099999999,1096,CH,l,Lac Léman,bourg-en-lavaux,lac-leman,True,Bourg-en-Lavaux,5613,5369,11338.686000000003,49324.754,8,2,5,0,0
Delta park,46.720078,7.635304,3645,CH,l,Thunersee,spiez,thunersee,True,Spiez,768,12812,11504.899,17983.822,6,3,6,0,1
emme_biberist_jennim,47.1692208,7.558994800000001,4562,CH,r,Emme,biberist,emme,False,Biberist,2513,8568,78611.894,47583.372,0,2,6,0,0
emme_luterbach_huggenbergerk,47.211944200000005,7.5740144,4528,CH,r,Emme,zuchwil,emme,False,Zuchwil,2534,8962,38848.63,28009.55,0,2,6,0,0
Emme_Utzenstorf_Grüttert,47.123696,7.539627,3427,CH,r,Emme,utzenstorf,emme,False,Utzenstorf,552,4333,17901.397,37005.994,0,1,5,0,0
Evole plage,46.989477,6.92392,2000,CH,l,Neuenburgersee,neuchatel,neuenburgersee,True,Neuchâtel,6458,33489,123228.601,45742.236,1,3,6,2,2
Flibach River Right bank,47.133742,9.105461,8872,CH,l,Walensee,weesen,walensee,True,Weesen,3316,1724,29190.168,30841.838,8,0,2,0,0
Gals reserve,47.0462719,7.0850075,3238,CH,l,Bielersee,gals,bielersee,True,Gals,494,827,2476.09,58791.919,8,0,1,0,0
gerra-gambarogno,46.123366,8.785786,6576,CH,l,Lago Maggiore,gambarogno,lago-maggiore,True,Gambarogno,5398,5192,32537.818,18750.957,17,1,5,0,0
glatt_oerlikon_covosN,47.416769099999996,8.566711999999999,8152,CH,r,Glatt,opfikon,glatt,False,Opfikon,66,20361,97052.886,46497.673,0,3,6,0,1
goldach_goldach_schlachterj,47.4739111,9.4593094,9403,CH,r,Goldach,goldach,goldach,False,Goldach,3213,9269,44759.084,20728.474,0,2,6,0,0
Grand Clos,46.387746,6.843686,1898,CH,l,Lac Léman,saint-gingolph,lac-leman,True,Saint-Gingolph,6155,982,15392.861,21038.608,6,0,1,0,0
greifensee_fällanden_meistery,47.3609381,8.6537228,8117,CH,l,Greifensee,fallanden,greifensee,False,Fällanden,193,8672,353.0130000000001,45591.351,0,2,6,0,0
greifensee_fällanden_simmenc,47.3597141,8.6548433,8117,CH,l,Greifensee,fallanden,greifensee,False,Fällanden,193,8672,1607.5410000000004,45328.398,0,2,6,0,0
greifensee_greifensee_simmenc,47.3635723,8.6756991,8606,CH,l,Greifensee,greifensee,greifensee,False,Greifensee,194,5358,30562.537,58358.188,0,1,5,0,0
greifensee_maur_simmenc,47.3323864,8.6855146,8124,CH,l,Greifensee,maur,greifensee,False,Maur,195,10215,3046.419000000001,17686.061999999998,0,2,6,0,1
greifensee_uster_fischerb_ 2,47.347436,8.6898805,8610,CH,l,Greifensee,uster,greifensee,False,Uster,198,34722,16603.037,29751.504,0,3,6,2,3
greifensee_uster_fischerb_1,47.3501274,8.6897972,8610,CH,l,Greifensee,uster,greifensee,False,Uster,198,34722,13077.175,25456.297,0,3,6,2,3
Grendelbach_Effretikon_DamboneC,47.4256491,8.6907062,8307,CH,r,Grändelbach,illnau-effretikon,grandelbach,False,Illnau-Effretikon,296,17068,115844.946,24061.948,0,3,6,0,1
Gäsi Strand,47.128442,9.110831,8872,CH,l,Walensee,weesen,walensee,True,Weesen,3316,1724,556.289,35731.992999999995,8,0,2,0,0
Hauterive Petite plage,47.010797,6.980303999999999,2068,CH,l,Neuenburgersee,hauterive-ne,neuenburgersee,True,Hauterive (NE),6454,2623,51705.936,20861.139,1,0,3,0,0
Häfeli,46.6902834,7.8985922,3806,CH,l,Brienzersee,bonigen,brienzersee,True,Bönigen,572,2536,47233.629,26580.767000000003,5,0,3,0,0
Impromptu_Cudrefin,46.964496000000004,7.027936,1588,CH,l,Neuenburgersee,cudrefin,neuenburgersee,True,Cudrefin,5456,1633,12677.853,71762.312,6,0,2,0,0
Inn_Pradella_KohlT,46.800876,10.319994,7550,CH,r,Inn,scuol,inn,False,Scuol,3762,4591,4285.499,43951.122,0,1,5,0,0
Jardin Botanique,46.2259088,6.1493572,1202,CH,l,Lac Léman,geneve,lac-leman,False,Genève,6621,201818,46033.003,94579.92,0,3,6,3,3
Jona river Rastplatz,47.2161,8.844430000000001,8654,CH,r,Jona,jona-city,jona,True,Rapperswil-Jona,3340,26999,5978.839,38774.51,4,3,6,1,2
jona_tann_nusslin,47.268427200000005,8.864125099999999,8635,CH,r,Jona,durnten,jona,False,Dürnten,113,7637,30000.382,17286.129,0,2,6,0,0
katzenbach_zuerich_sanesim,47.428472799999994,8.513088,8046,CH,l,Katzensee,zurich,katzensee,False,Zürich,261,415367,36257.407,27673.32,0,3,6,3,3
katzensee_regensdorfzuerichaffoltern_stueberj,47.4311281,8.4929243,8046,CH,l,Katzensee,zurich,katzensee,False,Zürich,261,415367,3581.5690000000004,59486.666,0,3,6,3,3
Küsnachter Dorfbach Tobelweg 1-4,47.31777,8.588258,8700,CH,r,Dorfbach,kusnacht,dorfbach,True,Küsnacht (ZH),154,14397,114929.558,56200.84,3,3,6,0,1
La Morges,46.504063,6.494098999999999,1110,CH,l,Lac Léman,morges,lac-leman,False,Morges,5642,15708,32980.528,63782.065,1,3,6,0,1
La Pêcherie,46.4639187,6.385732099999999,1165,CH,l,Lac Léman,allaman,lac-leman,True,Allaman,5851,442,4277.769,37782.672,3,0,0,0,0
La Petite plage,46.785053999999995,6.656877000000001,1400,CH,l,Neuenburgersee,yverdon-les-bains,neuenburgersee,True,Yverdon-les-Bains,5938,30157,2162.961,47676.00900000001,7,3,6,1,2
La Thièle_Le Mujon_confluence,46.77534,6.6309,1400,CH,r,La Thièle,yverdon-les-bains,la-thiele,True,Yverdon-les-Bains,5938,30157,94893.431,66806.303,0,3,6,1,2
Lac Léman Hammerdirt,46.450389200000004,6.8582342,1814,CH,l,Lac Léman,la-tour-de-peilz,lac-leman,False,La Tour-de-Peilz,5889,11828,77264.163,42554.932,2,2,6,0,1
lacléman_gland_kubela,46.4028693,6.2819358,1196,CH,l,Lac Léman,gland,lac-leman,False,Gland,5721,13109,2041.404,10442.534,0,3,6,0,1
Lacléman_Gland_LecoanetS,46.4028106,6.281958599999999,1196,CH,l,Lac Léman,gland,lac-leman,True,Gland,5721,13109,1883.183,18451.078,0,3,6,0,1
lacléman_vidy_santie,46.5183178,6.5896078,1007,CH,l,Lac Léman,lausanne,lac-leman,False,Lausanne,5586,139111,17644.493000000002,58030.666,2,3,6,3,3
langete_langenthal_geiserm,47.21653320000001,7.7923041,4900,CH,r,Langeten,langenthal,langeten,False,Langenthal,329,15624,126097.868,49805.302,0,3,6,0,1
Lavey la source,46.200804,7.021866,1892,CH,r,Rhône,lavey-morcles,rhone,True,Lavey-Morcles,5406,946,8332.632,44692.031,0,0,1,0,0
Lavey les bains,46.205158700000005,7.012722,1892,CH,r,Rhône,lavey-les-bains,rhone,True,Lavey-Morcles,5406,946,47603.552,24769.543,0,0,1,0,0
Le Pierrier,46.439727000000005,6.888967999999999,1815,CH,l,Lac Léman,montreux,lac-leman,True,Montreux,5886,25984,81563.88799999999,18181.014,4,3,6,1,2
Le Port,46.452245,6.855180000000001,1814,CH,l,Lac Léman,la-tour-de-peilz,lac-leman,False,La Tour-de-Peilz,5889,11828,74033.668,47807.948,2,2,6,0,1
Les Glariers,46.176736,7.228925,6139,CH,r,Rhône,riddes,rhone,True,Riddes,6139,3133,34639.734,22497.962000000003,0,1,4,0,0
Les Vieux Ronquoz,46.2220487,7.361664,1950,CH,r,Rhône,sion,rhone,True,Sion,6266,34708,106394.403,20147.82,0,3,6,2,3
Ligerz strand,47.083979,7.135894,2514,CH,l,Bielersee,ligerz,bielersee,True,Ligerz,740,544,13981.163,31113.408,4,0,0,0,0
limmat_dietikon_keiserp,47.4079891,8.4095398,8953,CH,r,Limmat,dietikon,limmat,False,Dietikon,243,27265,101611.89,39469.002,0,3,6,1,2
Limmat_Unterengstringen_OggierBührer,47.409400299999994,8.4469334,8103,CH,r,Limmat,unterengstringen,limmat,False,Unterengstringen,249,3881,69384.938,50339.787,0,1,4,0,0
Limmat_Zuerich_JansenA,47.4000247,8.484684699999999,8064,CH,r,Limmat,zurich,limmat,True,Zürich,261,415367,92498.036,71680.193,0,3,6,3,3
limmat_zuerich_suterd&glauserp,47.3945393,8.5134435,8005,CH,r,Limmat,zurich,limmat,True,Zürich,261,415367,199157.26,56563.682,0,3,6,3,3
Limmat_Zuerich_WagnerC,47.4034956,8.4777701,8064,CH,r,Limmat,zurich,limmat,False,Zürich,261,415367,79868.012,33838.184,0,3,6,3,3
limmat_zürich_mortensena_meiera,47.4002515,8.485411000000001,8064,CH,r,Limmat,zurich,limmat,True,Zürich,261,415367,102506.089,74734.557,0,3,6,3,3
Linthdammweg,47.13179,9.09191,8872,CH,r,Linthkanal,weesen,linthkanal,True,Weesen,3316,1724,57309.631,22881.807,6,0,2,0,0
Linth_Mollis,47.131370000000004,9.094768,8872,CH,r,Linthkanal,glarus-nord,linthkanal,True,Glarus Nord,1630,18483,45498.102,31447.345,7,3,6,0,1
Linth_Route9brücke,47.12573,9.117339999999999,8757,CH,r,Escherkanal,glarus-nord,escherkanal,True,Glarus Nord,1630,18483,3327.946,20127.078,6,3,6,0,1
Lorze_Baar_BlarerE,47.1954019,8.540237,6340,CH,r,Lorze,baar,lorze,False,Baar,1701,24468,90504.962,25884.545,0,3,6,1,2
Lüscherz plage,47.0479551,7.151242,2576,CH,l,Bielersee,luscherz,bielersee,True,Lüscherz,497,560,41687.898,45777.712,6,0,0,0,0
Lüscherz two,47.047519,7.1528292,2573,CH,l,Bielersee,luscherz,bielersee,True,Lüscherz,497,560,43340.962,25682.266,6,0,0,0,0
lötschebach_bern_scheurerk,46.964946000000005,7.492835899999999,3072,CH,r,Lötschebach,ostermundigen,lotschebach,False,Ostermundigen,363,17751,29829.009,22491.81,0,3,6,0,1
Maladaire,46.446296000000004,6.87696,1814,CH,l,Lac Léman,la-tour-de-peilz,lac-leman,True,La Tour-de-Peilz,5889,11828,51222.035,62275.846,3,2,6,0,1
Mammern swisslitterreport,47.6558366,8.9553168,8266,CH,l,Untersee,steckborn,untersee,False,Steckborn,4864,3753,8928.561,39497.465,0,1,4,0,0
mols rocks,47.1143432,9.2881737,8885,CH,l,Walensee,quarten,walensee,True,Quarten,3295,2937,13991.526000000002,66629.954,7,1,4,0,0
Murg Bad,47.115307,9.215691,8877,CH,l,Walensee,quarten,walensee,True,Quarten,3295,2937,33449.797999999995,24219.443,6,1,4,0,0
Murg_Waengi_StrickerR,47.49361,8.961592800000002,9545,CH,r,Murg,wangi,murg,False,Wängi,4781,4720,17780.862,21647.542,0,1,5,0,0
Mühlehorn dorf,47.118448,9.172124,8874,CH,l,Walensee,glarus-nord,walensee,True,Glarus Nord,1630,18483,18496.731,32852.878,7,3,6,0,1
Müllermatte,47.133339,7.227907000000001,2505,CH,l,Bielersee,biel,bielersee,True,Biel/Bienne,371,55159,11524.978,37343.704,4,3,6,3,3
Neuenburgersee_Cudrefin_MatterA,46.962708899999996,7.0259681,1588,CH,l,Neuenburgersee,cudrefin,neuenburgersee,False,Cudrefin,5456,1633,23078.863,51660.09099999999,6,0,2,0,0
Nidau strand,47.127196000000005,7.232613000000001,2560,CH,l,Bielersee,nidau,bielersee,True,Nidau,743,6823,43682.936,55972.09400000001,4,2,6,0,0
Nouvelle plage,46.856646399999995,6.848428,1470,CH,l,Neuenburgersee,estavayer,neuenburgersee,True,Estavayer,2054,9716,6469.07,82091.145,4,2,6,0,0
Oben am see,46.74445107,8.049921099999999,3855,CH,l,Brienzersee,brienze-be,brienzersee,True,Brienz (BE),573,3092,15405.033,39358.766,12,1,4,0,0
Ognonnaz 1,46.4599413,6.8591341,1800,CH,r,Ognonnaz,vevey,ognonnaz,False,Vevey,5890,19891,103290.832,14935.321000000002,1,3,6,0,1
Oyonne,46.456682,6.852262,1814,CH,l,Lac Léman,la-tour-de-peilz,lac-leman,True,La Tour-de-Peilz,5889,11828,112982.407,47799.45,2,2,6,0,1
pacha mama-gerra,46.123473,8.783508,6576,CH,l,Lago Maggiore,gambarogno,lago-maggiore,True,Gambarogno,5398,5192,25608.726,26040.323,18,1,5,0,0
Parc des Pierrettes,46.515215000000005,6.575531,1025,CH,l,Lac Léman,saint-sulpice,lac-leman,True,Saint-Sulpice (VD),5648,4668,33535.925,32807.0,1,1,5,0,0
Pécos Plage,46.80359,6.63665,1422,CH,l,Neuenburgersee,grandson,neuenburgersee,True,Grandson,5561,3357,10718.902,61952.223,6,1,4,0,0
Pfaffner_Rothrist_Ischik,47.298567799999994,7.8994664000000006,4852,CH,r,Pfaffnern,rothrist,pfaffnern,False,Rothrist,4282,9127,39614.204,33720.434,0,2,6,0,0
Pierrier sud,46.4395601,6.8910000999999985,1815,CH,l,Lac Léman,montreux,lac-leman,False,Montreux,5886,25984,90676.894,54872.16,4,3,6,1,2
Plage de Cheyres,46.818689,6.782255999999999,1468,CH,l,Neuenburgersee,cheyres,neuenburgersee,True,Cheyres-Châbles,2055,2320,28502.998,33140.731,6,0,3,0,0
Plage de Dorigny,46.518169,6.583319,1025,CH,l,Lac Léman,saint-sulpice,lac-leman,False,Saint-Sulpice (VD),5648,4668,22809.841,36233.057,1,1,5,0,0
Plage de St Sulpice,46.513265000000004,6.570977,1025,CH,l,Lac Léman,saint-sulpice,lac-leman,True,Saint-Sulpice (VD),5648,4668,33692.049,32506.129,1,1,5,0,0
Pointe d'Areuse,46.94619,6.87097,2017,CH,l,Neuenburgersee,boudry,neuenburgersee,True,Boudry,6404,6154,2977.322,29522.629,7,2,5,0,0
Préverenges,46.51269,6.527657,1028,CH,l,Lac Léman,preverenges,lac-leman,True,Préverenges,5643,5287,44305.598,37975.217,2,1,5,0,0
preverenges-le sout,46.5089049,6.5345263,1028,CH,l,Lac Léman,preverenges,lac-leman,True,Préverenges,5643,5287,15909.191,63292.748,1,1,5,0,0
Quai Maria Belgia,46.460156,6.836717999999999,1800,CH,l,Lac Léman,vevey,lac-leman,True,Vevey,5890,19891,89407.18800000002,28275.831,4,3,6,0,1
Rastplatz Stampf,47.215177000000004,8.844286,8645,CH,l,Zurichsee,jona-city,zurichsee,True,Rapperswil-Jona,3340,26999,4381.695,16478.457,5,3,6,1,2
Reuss,47.329869099999996,8.3568493,5626,CH,r,Reuss,bremgarten,reuss,False,Bremgarten (AG),4063,7946,3414.791,24107.669,0,2,6,0,0
reuss_hünenberg_eberhardy,47.2329755,8.401012099999999,6331,CH,r,Reuss,hunenberg,reuss,True,Hünenberg,1703,8808,1913.223,32229.921,0,2,6,0,0
reuss_ottenbach_schoenenbergerl,47.2783545,8.3942242,5634,CH,r,Reuss,merenschwand,reuss,True,Merenschwand,4234,3549,7070.938,19573.421,0,1,4,0,0
Reuss_St.Karli_LinigerS/ImhofY,47.057111799999994,8.287914500000001,6004,CH,r,Reuss,luzern,reuss,False,Luzern,1061,81691,95540.82,29377.315,0,3,6,3,3
Rhein Beach Tinguely,47.5586439,7.612153599999999,4058,CH,r,Rhein,basel,rhein,False,Basel,2701,172258,137219.454,19371.29,0,3,6,3,3
Rhein_Basel,47.556801799999995,7.6010856,4058,CH,r,Rhein,basel,rhein,False,Basel,2701,172258,161212.408,44054.333,0,3,6,3,3
Rhein_Basel_HungerbuehlerN,47.558217600000006,7.6103488,4058,CH,r,Rhein,basel,rhein,False,Basel,2701,172258,154255.267,43527.872,0,3,6,3,3
rhein_domatems_foppa_f,46.8380375,9.447638699999999,7013,CH,r,Rhein,domat-ems,rhein,False,Domat/Ems,3722,8038,65597.354,31685.201,0,2,6,0,0
rhein_eglisau_gomringerp,47.5733159,8.5345847,8193,CH,r,Rhein,eglisau,rhein,False,Eglisau,55,5217,26660.843,39594.318,0,1,5,0,0
Rhein_Hemishofen_StollL,47.675523600000005,8.828029199999998,8261,CH,r,Rhein,hemishofen,rhein,False,Hemishofen,2962,468,31036.586,45001.143,0,0,0,0,0
Rivapiana,46.172079,8.813255,6648,CH,l,Lago Maggiore,minusio,lago-maggiore,True,Minusio,5118,7302,82195.174,54623.433,7,2,6,0,0
Rocky plage,46.20973675,6.16495237,1208,CH,l,Lac Léman,geneve,lac-leman,True,Genève,6621,201818,23154.783,15106.493,4,3,6,3,3
Rolle-plage,46.4613,6.349739,1180,CH,l,Lac Léman,rolle,lac-leman,False,Rolle,5861,6259,46578.425,51565.981,5,2,6,0,0
Route 13,46.162521000000005,8.7825791,6600,CH,r,Maggia,locarno,maggia,True,Locarno,5113,15826,63737.472,30812.892000000003,1,3,6,0,1
Ruisseau de la croix plage,46.81392,6.7747,1468,CH,l,Neuenburgersee,cheyres,neuenburgersee,True,Cheyres-Châbles,2055,2320,8036.2069999999985,76493.799,7,0,3,0,0
Saint Sulpice,46.507808000000004,6.545344,1025,CH,l,Lac Léman,saint-sulpice,lac-leman,False,Saint-Sulpice (VD),5648,4668,12112.926,19811.454,1,1,5,0,0
san nazzaro-gambarogno,46.130443,8.798657,6575,CH,l,Lago Maggiore,gambarogno,lago-maggiore,True,Gambarogno,5398,5192,26207.072,82847.267,13,1,5,0,0
schiffenensee_duedingen_hirschij,46.859151399999995,7.176437400000001,3186,CH,l,Schiffenensee,dudingen,schiffenensee,False,Düdingen,2293,7964,5083.758,25575.399,0,2,6,0,0
Schmerikon Bahnhof Strand,47.224779999999996,8.944180000000001,Postal-code,CH,l,Zurichsee,schmerikon,zurichsee,True,Schmerikon,3338,3710,74296.86,31856.425,10,1,4,0,0
Schüsspark strand,47.1465,7.268619999999999,2504,CH,r,Schüss,biel,schuss,True,Biel/Bienne,371,55159,155775.72400000002,46450.951,0,3,6,3,3
seeflechsen,47.1302229,9.1033996,8872,CH,l,Walensee,glarus-nord,walensee,True,Glarus Nord,1630,18483,1061.236,46561.765,8,3,6,0,1
Seemühlestrasse Strand,47.128640000000004,9.2951,8880,CH,l,Walensee,walenstadt,walensee,True,Walenstadt,3298,5679,122.24,74734.557,8,2,5,0,0
Seez,47.11983,9.300251,8880,CH,r,Seez,walenstadt,seez,True,Walenstadt,3298,5679,30124.519,40268.512,8,2,5,0,0
Seez_Spennwiesenbrücke,47.114948,9.310122999999999,8880,CH,r,Seez,walenstadt,seez,True,Walenstadt,3298,5679,10056.979,74623.878,4,2,5,0,0
sempachersee_sempach_tampec,47.128618100000004,8.1918737,6204,CH,l,Sempachsee,sempach,sempachsee,False,Sempach,1102,4169,68237.105,43200.482,0,1,5,0,0
Sense_Törishaus_g cubes,46.8831206,7.353188900000001,3174,CH,r,Sense,koniz,sense,False,Köniz,355,41784,12497.815,37173.102,0,3,6,3,3
Sentiero Giro del Golf spiaggia,46.14577,8.79043,6612,CH,l,Lago Maggiore,ascona,lago-maggiore,True,Ascona,5091,5481,7746.465,31014.898,1,2,5,0,0
Signalpain,46.7862,6.647360000000001,1400,CH,l,Neuenburgersee,yverdon-les-bains,neuenburgersee,True,Yverdon-les-Bains,5938,30157,40509.053,35397.814,8,3,6,1,2
sihlsee_einsiedeln_schilligerllacherl,47.141393799999996,8.7603588,8840,CH,l,Sihlsee,einsiedeln,sihlsee,False,Einsiedeln,1301,15870,9709.226,50458.47900000001,0,3,6,0,1
Sihl_Adliswil_Oggi_Fort,47.3124217,8.5262549,8134,CH,r,Sihl,adliswil,sihl,False,Adliswil,131,18769,144594.232,38414.677,0,3,6,0,1
sihl_leimbach_kruegerm,47.325436100000005,8.5191195,8041,CH,r,Sihl,zurich,sihl,False,Zürich,261,415367,59626.609,41022.654,0,3,6,3,3
Sihl_Menzingen_Kucharska_Magdalena,47.191501200000005,8.6184214,6313,CH,r,Sihl,menzingen,sihl,False,Menzingen,1704,4539,3312.026,25191.464,0,1,5,0,0
sihl_zuerich_eggerskoehlingera,47.3818981,8.5383279,8005,CH,r,Sihl,zurich,sihl,False,Zürich,261,415367,224476.69600000003,82713.282,0,3,6,3,3
